,Name,Corrdinates,Corrdinates_ll,latitude,longtitude
10,Aceh Utara,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.9786331,97.2221421&amp;z=10&amp;ftid=0x30387f0d72cee8bf:0x3039d80b220cd60&amp;q=North+Aceh+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwjjsM-bsobeAhUpJ8AKHadzAgIQ_BIIYjAQ"" style=""height:160px""><img alt=""Map for North Aceh Regency"" height=""160"" src=""/maps/vt/data=kjII4ozHcIw5KSrZrp19adWZWtmq_NpNHiTqUZqFkWfmRI690x4xOjyNBy1zpSY6zDLIYCdj4rco9Xa3ZIdpXFPxD_UCAmjLp8AgjAScGQfEsEGR-Yptp72rekRtQOpPLG4twnfpoVybX6RU9ytXqXfzj32DmOnLJRWKlqMlPVAyiWPLjbfWbHgq9ky5nU56R_8Pib8VqMGxh93mk7-z8C3D7DQV1S8gFUQcwGT1"" title=""Map for North Aceh Regency"" width=""260""/></a></div>]","4.9786331,97.2221421",4.9786331,97.2221421
11,Bener Meriah,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.7513606,96.9525224&amp;z=11&amp;ftid=0x30388c1d8bd63877:0xc7c01de53e9c64b6&amp;q=Bener+Meriah+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwj75oucsobeAhUkI8AKHRv7CvAQ_BIIVDAQ"" style=""height:160px""><img alt=""Map for Bener Meriah"" height=""160"" src=""/maps/vt/data=SW79l7NJ_-t1Ex1T4TKzO5b9cJxaUk4pj1JCnxkHzXpAxFp2xiSheSuBRyTNcrex6GLrwrTJpQn5etzb-4-qz_x6ccxdfeuGxbsWXknf2womtMO694tvXJqgFM3y7f74ElV6eqTF72JLHI2I6WOylNrPnuzBdEuVuULYhbQcBwaky0iYYr6Bykqw0Il41rhcP3lVVflB45LP7N8_Z6mCFwLzIU_YD9whXTx16v2mIA"" title=""Map for Bener Meriah"" width=""260""/></a></div>]","4.7513606,96.9525224",4.7513606,96.9525224
12,Bireuen,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=5.1086446,96.663812&amp;z=11&amp;ftid=0x304759c704ae3faf:0x3039d80b220cb50&amp;q=Bireuen+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwj7hMCcsobeAhVCLMAKHQGAAbEQ_BIIWjAM"" style=""height:160px""><img alt=""Map for Bireuen"" height=""160"" src=""/maps/vt/data=qihUAEW0upurAPP7olC75wM6kT0XDGDq7_Kij36t0ogVSGpt74GtRkEeMTJbKmG_ISVPJTm84pdFdfwqIFtUf6vCKCHwaziOH_hgnyOgjktLCSsCCcBmB9XfkeUGu4rPRG3r8ANSltbSybdgoHwbL_SwpUTaEApU4fmkF29L1sjY65wKgKqDHmHfw2x8v2SvhjOnfMvrOtWKbbS71uoe7banmD5M5jHIvIXMMEqR"" title=""Map for Bireuen"" width=""260""/></a></div>]","5.1086446,96.663812",5.1086446,96.663812
13,Gayo Lues,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=3.955165,97.3516558&amp;z=10&amp;ftid=0x303996e9a8eb7ceb:0x3039d80b220cb00&amp;q=Gayo+Lues+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwiuneicsobeAhXlKcAKHRm3Cd0Q_BIIWzAQ"" style=""height:160px""><img alt=""Map for Gayo Lues"" height=""160"" src=""/maps/vt/data=SzxwkGjrJuHAqgom-9WoSz55KXqWqXpbXtALpque28EXXVpws3RA2y-TK-91hl0F2kDvcsPj2GGR3IFZmapBr45j7NNPYgBWLj_ClZ5BIyZoJ11CWzwKcAVGWEWllMRZZFscMaWPXIJ-JezJjEyZufIRkCKr64gyALhR2IzqyPMV-JKJgjQvfr_u0FGGlN_bwxNQ31fVFgcorLfZhb0Y9L4ZYvfwWTv-MV_ANkjq"" title=""Map for Gayo Lues"" width=""260""/></a></div>]","3.955165,97.3516558",3.955165,97.3516558
14,Nagan Raya,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.1248406,96.4929797&amp;z=10&amp;ftid=0x30393111e18e2837:0x3039d80b220ced0&amp;q=Nagan+Raya+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwj1sZSdsobeAhUpJMAKHfHtA4MQ_BIIYTAP"" style=""height:160px""><img alt=""Map for Nagan Raya"" height=""160"" src=""/maps/vt/data=xICEzTJk1Zlyp-UxQVJ30C2s56BodRRNXgHvgcbqvLpWk7FyCS6Mc3M1TQer6wxHNHoXvYJt62kvmXoVtnHO25W8AqdrLa4DCumOYsge7J3g55XWqdU2EmicaPpr3iMXYSjRq84TwWYkztHnEfKzBQVd002vjXbZTOi1ZZFBrorzIBHQzF8lLuULmEXLfBq2O0p1nBrHDYe83dM9SQeWZCkfJUNCbzkMMcT8YfbT"" title=""Map for Nagan Raya"" width=""260""/></a></div>]","4.1248406,96.4929797",4.1248406,96.4929797
15,Pidie,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=5.0742659,95.940971&amp;z=10&amp;ftid=0x3040a22792f96a2f:0x3039d80b220d180&amp;q=Pidie+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwij3cSdsobeAhUkKsAKHainDFMQ_BIIVzAM"" style=""height:160px""><img alt=""Map for Pidie"" height=""160"" src=""/maps/vt/data=IbxcosrW6Rf9IMRS80F1G0Bo8rfXNfUixml6_uW9dNQjRXchifB6BFiwf8cOSV8CYEegAEVKeCWr0u5thoVN9x_VCEkPRf5fGiAZJU4LSuCjZj4uZ2PebsSzDnWsWqN5RajZegbtcR5CQnNISgdpaeU8pCpzIiD1nsQKnXFeA59oGby9hhAFOExhYQ3uY-ead5BWcB8YKtnjnRF7OJ78jrZuW8-VeA57C4dUEosy"" title=""Map for Pidie"" width=""260""/></a></div>]","5.0742659,95.940971",5.0742659,95.940971
16,Pidie Jaya,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=5.1548063,96.195132&amp;z=11&amp;ftid=0x3040a67d62f2cab3:0x19e25680f2b7b1b6&amp;q=Pidie+Jaya+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwiB4vGdsobeAhUHAcAKHXzxDgMQ_BIIWzAP"" style=""height:160px""><img alt=""Map for Pidie Jaya"" height=""160"" src=""/maps/vt/data=Yp6Yq2ZYEuAavHfruqsxVLoOHTI-VrtwVvnofY46zWAdy44-u9FjvRNUp2HRkPSQld3mLC9Fbu6soNjkR-sNMu27XOCq3qmxr9FbiC6RklFGwDkxXsDAmRVZzoe9xg-RUS_xLuu6pfssu5XLmPbtqzN_U41T4T_rKxuXvxzZU-GKk2JzoxQ4A_GRTC06Brz958ThdPZeHqc_RQs9IMHX1_yXidOT9-d0mO5j4hq3tw"" title=""Map for Pidie Jaya"" width=""260""/></a></div>]","5.1548063,96.195132",5.1548063,96.195132
17,Simeulue,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=2.6439724,96.0255738&amp;z=10&amp;ftid=0x303cb3ae549a918f:0x3039d80b220d200&amp;q=Simeulue+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwjezKOesobeAhXLcsAKHSY4AQoQ_BIIZjAQ"" style=""height:160px""><img alt=""Map for Simeulue Regency"" height=""160"" src=""/maps/vt/data=VY7xQU83ZorsdHE7qlrQkUeuAndy0Qw49KIxWPZm9Ww6ObH7dVO5oINcZ0__MkNcbvgMV0CMzm-z23q1aTPd2_9S_0OwpzYAarc2Z8diBXIF-SBO0GrPx6o-Afb3gZ4fXobJD66aWhiQAyL1rRRX86bf4LZIprtl7SzYWJmBnxdJTXhajFW6gX6KOTIt59LgS5CTs-m4bhrEhvLi-RpNSqI4j34t9Suz8rpIQgWa"" title=""Map for Simeulue Regency"" width=""260""/></a></div>]","2.6439724,96.0255738",2.6439724,96.0255738
18,Badung,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=-8.5819296,115.1770586&amp;z=10&amp;ftid=0x2dd23b965b12b495:0x3030bfbca7cbee0&amp;q=Badung+Regency,+Bali,+Indonesia&amp;ved=0ahUKEwjvjN-esobeAhULBsAKHeF1DhcQ_BIIVTAM"" style=""height:160px""><img alt=""Map for Badung"" height=""160"" src=""/maps/vt/data=6ZHnm2hDBNxBiRQ-V12nKgQlkeWNo9UQKmkfEB3Vz6QcwS5ckBCVep7Qo3wKgZM-x3gS_qxTLEuX7ViL5G2-hJzrRuFKMx1Yf6gQ5dH-_PpH7V8o3kynncYAQu85u1iatwS5l7ddggHNX0vmetm2mZwy1TyOl2xy3oguUWn6zAmkJhKTzO-uRs2_vcFRT3h64bJ3BVxMu6XOHiqTUxX3X_qDDSDzoYT4wgMFoGuZ"" title=""Map for Badung"" width=""260""/></a></div>]","-8.5819296,115.1770586",-8.5819296,115.1770586
19,Bangli,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=-8.2975884,115.3548713&amp;z=11&amp;ftid=0x2dd21e398e4623fd:0x3030bfbca7cbef0&amp;q=Bangli+Regency,+Bali,+Indonesia&amp;ved=0ahUKEwjNxpKfsobeAhUlAsAKHXgXDn4Q_BIITjAM"" style=""height:160px""><img alt=""Map for Bangli Regency"" height=""160"" src=""/maps/vt/data=l5KcFqDgaZeJCvf7tQO4wAIJewJ2dEb4TWmchVgjyhMynjyLEQFJX6fm_YJ3l2t0djLKCBcevjxzDcC8vM9wZIeKJb435ldnnRYw2vgVE99XhRFYRr5vAR-Nkfb9xa9S8xPLkBL-Vbw4ejVliyZ1c6R19Op__WH2qQCLsbvf5C2AJSE4lKyYRioFIWMpKLvuIiNiR_zNhiCTjC-XXi1OgbvpRTWSHNsYo_IOfrTl"" title=""Map for Bangli Regency"" width=""260""/></a></div>]","-8.2975884,115.3548713",-8.2975884,115.3548713
